epoch 85 : gan_loss = [13.175676, 1.1920933e-07, 13.175676] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 86 : gan_loss = [16.686476, 1.1920933e-07, 16.686476] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 87 : gan_loss = [16.366531, 1.1920933e-07, 16.366531] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 88 : gan_loss = [22.729855, 1.1920933e-07, 22.729855] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 89 : gan_loss = [14.482519, 1.1920933e-07, 14.482519] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 90 : gan_loss = [19.013288, 1.1920933e-07, 19.013288] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 91 : gan_loss = [17.400343, 1.1920933e-07, 17.400343] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 92 : gan_loss = [19.129974, 1.1920933e-07, 19.129974] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 93 : gan_loss = [10.282487, 1.1920933e-07, 10.282487] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 94 : gan_loss = [8.902601, 1.1920933e-07, 8.902601] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 95 : gan_loss = [14.695717, 1.1920933e-07, 14.695717] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 96 : gan_loss = [15.267973, 1.1920933e-07, 15.267973] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 97 : gan_loss = [15.044136, 1.1920933e-07, 15.044136] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 98 : gan_loss = [15.018394, 1.1920933e-07, 15.018394] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
epoch 99 : gan_loss = [22.117416, 1.1920933e-07, 22.117416] ; discriminator_loss_1 = 0.500000; discriminator_loss_2 = 0.500000
